,0
732,POTEKP
733,NCKAP5
734,ACMSD
735,LRP1B
736,GTDC1
737,MBD5
738,KIF5C
739,LYPD6
740,NEB
741,ACVR1
742,PKP4
743,TANC1
744,BAZ2B
745,KCNH7
746,GRB14
747,SCN3A
748,SCN2A
749,TTC21B
750,SCN1A
751,SCN9A
752,ABCB11
753,ITGA6
754,CDCA7
755,EVX2
756,OSBPL6
757,DFNB59
758,PLEKHA3
759,TTN-AS1
760,TTN
761,ZNF385B
762,PPP1R1C
763,FSIP2
764,CALCRL
765,GULP1
766,COL3A1
767,ASNSD1
768,ANKAR
769,MYO1B
770,DNAH7
771,PGAP1
772,HSPD1
773,PLCL1
774,C2orf69
775,SPATS2L
776,FAM126B
777,CFLAR
778,CASP8
779,STRADB
780,CDK15
781,LOC100652824
782,RAPH1
783,PARD3B
784,KLF7
785,FZD5
786,CRYGD
787,UNC80
788,CPS1
789,PECR
790,TNS1
791,SLC11A1
792,PLCD4
793,ZNF142
794,STK36
795,TTLL4
796,CYP27A1
797,PRKAG3
798,CCDC108
799,IHH
800,NHEJ1
801,CNPPD1
802,ABCB6
803,DNPEP
804,DES
805,SPEG
806,STK11IP
807,PAX3
808,ACSL3
809,NYAP2
810,RHBDD1
811,COL4A4
812,COL4A3
813,TRIP12
814,SP140L
815,SP100
816,SPATA3
817,ARMC9
818,COPS7B
819,DIS3L2
820,ALPP
821,ALPPL2
822,ALPI
823,ECEL1
824,PRSS56
825,CHRNG
826,GIGYF2
827,NGEF
828,ATG16L1
829,DGKD
830,USP40
831,AGAP1
832,COL6A3
833,UBE2F
834,PER2
835,TRAF3IP1
836,ASB1
837,HDAC4
838,OR6B2
839,PRR21
840,OR6B3
841,PP14571
842,ANKMY1
843,CAPN10
844,AC011298.2
845,KIF1A
846,LOC728763
847,PASK
848,ANO7
849,HDLBP
850,LOC101927509
851,FARP2
852,ATG4B
853,GAL3ST2
854,LMCD1
855,SSUH2
856,SRGAP3
857,CAMK1
858,TADA3
859,ARPC4
860,TTLL3
861,IL17RE
862,IL17RC
863,IRAK2
864,GHRL
865,SEC13
866,ATP2B2
867,SLC6A11
868,HRH1
869,SYN2
870,TSEN2
871,RAF1
872,CAND2
873,IQSEC1
874,NUP210
